cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year
1E+12,C,,,Alameda,16662,8611,517,534,515,4696,54.53,1516
3E+12,C,,,Amador,326,88,534,525,510,58,65.91,1516
4E+12,C,,,Butte,2445,694,508,522,490,375,54.03,1516
5E+12,C,,,Calaveras,498,130,512,515,499,70,53.85,1516
6E+12,C,,,Colusa,356,109,454,461,451,29,26.61,1516
7E+12,C,,,Contra Costa,13472,6865,504,512,499,3565,51.93,1516
8E+12,C,,,Del Norte,372,54,475,493,456,20,37.04,1516
9E+12,C,,,El Dorado,2238,950,540,561,526,648,68.21,1516
1E+13,C,,,Fresno,14980,5992,449,452,441,1631,27.22,1516
1.1E+13,C,,,Glenn,542,108,449,454,447,29,26.85,1516
1.2E+13,C,,,Humboldt,1397,443,524,514,500,239,53.95,1516
1.3E+13,C,,,Imperial,2674,867,463,467,453,264,30.45,1516
1.4E+13,C,,,Inyo,1225,106,451,446,431,35,33.02,1516
1.5E+13,C,,,Kern,13297,4353,462,468,449,1328,30.51,1516
1.6E+13,C,,,Kings,2021,539,461,458,451,165,30.61,1516
1.7E+13,C,,,Lake,610,180,484,479,465,76,42.22,1516
1.8E+13,C,,,Lassen,409,83,503,496,476,39,46.99,1516
1.9E+13,C,,,Los Angeles,121303,60458,460,471,457,20306,33.59,1516
2E+13,C,,,Madera,2348,710,451,450,436,176,24.79,1516
2.1E+13,C,,,Marin,2247,1167,544,544,539,794,68.04,1516
2.2E+13,C,,,Mariposa,165,50,493,524,466,22,44,1516
2.3E+13,C,,,Mendocino,1038,320,508,505,491,163,50.94,1516
2.4E+13,C,,,Merced,4320,1490,446,449,435,349,23.42,1516
2.5E+13,C,,,Modoc,105,39,453,471,459,10,25.64,1516
2.6E+13,C,,,Mono,593,49,493,499,475,23,46.94,1516
2.7E+13,C,,,Monterey,5279,1686,459,457,448,497,29.48,1516
2.8E+13,C,,,Napa,1745,737,488,489,481,325,44.1,1516
2.9E+13,C,,,Nevada,2401,288,556,542,531,206,71.53,1516
3E+13,C,,,Orange,40173,17775,515,534,511,9821,55.25,1516
3.1E+13,C,,,Placer,5782,2863,526,532,508,1693,59.13,1516
3.2E+13,C,,,Plumas,166,67,502,500,484,30,44.78,1516
3.3E+13,C,,,Riverside,34138,17766,446,451,442,4939,27.8,1516
3.4E+13,C,,,Sacramento,19177,7394,491,500,477,3256,44.04,1516
3.5E+13,C,,,San Benito,871,328,477,474,470,109,33.23,1516
3.6E+13,C,,,San Bernardino,33492,12832,462,470,453,4070,31.72,1516
3.7E+13,C,,,San Diego,43146,18078,505,514,492,8921,49.35,1516
3.8E+13,C,,,San Francisco,4913,2872,474,516,466,1291,44.95,1516
3.9E+13,C,,,San Joaquin,11408,3771,474,483,465,1377,36.52,1516
4E+13,C,,,San Luis Obispo,2855,1003,529,523,510,594,59.22,1516
4.1E+13,C,,,San Mateo,6796,3373,538,557,536,2146,63.62,1516
4.2E+13,C,,,Santa Barbara,5316,1792,507,516,494,908,50.67,1516
4.3E+13,C,,,Santa Clara,20395,10268,548,575,549,6743,65.67,1516
4.4E+13,C,,,Santa Cruz,3062,1064,509,512,503,570,53.57,1516
4.5E+13,C,,,Shasta,2139,503,532,527,509,286,56.86,1516
4.6E+13,C,,,Sierra,34,13,*,*,*,*,*,1516
4.7E+13,C,,,Siskiyou,441,150,507,506,477,69,46,1516
4.8E+13,C,,,Solano,4799,1818,487,496,477,809,44.5,1516
4.9E+13,C,,,Sonoma,5316,1909,517,524,509,1084,56.78,1516
5E+13,C,,,Stanislaus,8403,2789,477,477,464,1007,36.11,1516
5.1E+13,C,,,Sutter,1575,478,485,496,475,206,43.1,1516
5.2E+13,C,,,Tehama,672,143,487,504,465,59,41.26,1516
5.3E+13,C,,,Trinity,107,31,506,504,474,16,51.61,1516
5.4E+13,C,,,Tulare,7176,2294,450,452,442,614,26.77,1516
5.5E+13,C,,,Tuolumne,507,128,530,500,502,70,54.69,1516
5.6E+13,C,,,Ventura,11671,4138,518,527,508,2303,55.65,1516
5.7E+13,C,,,Yolo,2174,1071,519,526,505,576,53.78,1516
5.8E+13,C,,,Yuba,1060,221,480,488,465,89,40.27,1516
